Jahr,Deutschland,Brandenburg/Berlin,Brandenburg,Baden-Wuerttemberg,Bayern,Hessen,Mecklenburg-Vorpommern,Niedersachsen,Niedersachsen/Hamburg/Bremen,Nordrhein-Westfalen,Rheinland-Pfalz,Schleswig-Holstein,Saarland,Sachsen,Sachsen-Anhalt,Thueringen/Sachsen-Anhalt,Thueringen
1951-01-01,21.11,12.63,12.63,29.12,23.88,19.54,15.75,20.49,20.55,25.35,24.03,26.08,29.07,14.19,13.43,15.27,17.68
1952-01-01,22.14,10.32,10.36,33.99,30.45,22.72,11.74,16.94,16.87,23.55,26.07,18.39,33.04,17.56,14.05,17.16,21.23
1953-01-01,15.03,9.75,9.74,21.70,19.37,13.06,10.37,13.21,13.18,16.06,12.53,16.95,11.36,14.11,9.47,11.29,13.67
1954-01-01,23.71,14.69,14.67,30.54,29.61,21.04,15.68,23.04,23.08,27.95,20.93,25.20,24.10,23.22,16.11,17.75,19.89
1955-01-01,20.77,13.39,13.41,29.11,28.82,19.16,13.37,17.20,17.18,21.29,18.75,14.96,25.22,19.83,14.89,16.76,19.21
1956-01-01,23.32,16.23,16.19,29.37,29.62,24.68,14.95,20.68,20.63,27.22,22.13,18.44,24.90,21.97,16.71,18.85,21.64
1957-01-01,21.91,12.83,12.86,26.79,28.03,21.80,11.42,22.14,22.09,28.58,20.17,20.38,26.91,19.29,14.10,15.72,17.84
1958-01-01,24.83,11.89,11.89,35.53,33.91,26.68,14.10,20.60,20.56,28.44,26.13,20.91,40.44,20.04,14.35,17.80,22.30
1959-01-01,13.69,10.58,10.57,22.69,20.97,11.99,8.84,7.32,7.36,11.25,13.73,9.54,16.64,13.64,7.85,9.57,11.81
1960-01-01,22.45,14.46,14.47,28.19,26.25,23.99,19.49,20.10,20.07,27.87,21.39,23.15,31.86,19.27,14.20,16.49,19.47
1961-01-01,24.53,15.73,15.74,29.62,26.77,27.52,16.07,27.53,27.45,33.26,22.68,21.28,29.86,19.04,17.07,18.99,21.49
1962-01-01,17.57,9.37,9.31,24.79,24.40,16.44,11.01,15.69,15.66,20.91,16.46,21.42,20.14,11.69,8.36,10.13,12.45
1963-01-01,17.58,9.75,9.73,26.59,24.73,17.49,12.50,14.30,14.27,18.17,16.35,17.18,24.78,11.83,8.83,11.74,15.53
1964-01-01,15.65,9.52,9.54,23.25,22.64,14.56,9.72,11.67,11.64,16.55,16.55,14.11,20.95,12.59,8.34,9.95,12.04
1965-01-01,28.03,16.13,16.10,42.03,35.78,30.06,17.98,22.43,22.47,32.82,30.84,27.54,42.68,22.22,14.65,17.89,22.11
1966-01-01,27.91,15.54,15.46,34.18,37.03,31.11,15.23,24.11,24.05,34.38,29.38,27.38,34.25,23.97,16.62,20.70,26.02
1967-01-01,22.54,15.91,15.92,29.08,27.37,24.53,16.22,19.58,19.52,24.33,24.88,21.58,32.46,21.23,14.91,16.60,18.80
1968-01-01,22.12,12.78,12.81,36.79,27.99,22.70,15.89,18.44,18.47,22.62,23.84,20.52,30.26,14.20,11.45,15.28,20.28
1969-01-01,19.25,11.53,11.54,29.74,23.32,19.13,11.14,16.63,16.64,21.08,19.09,19.83,26.16,16.38,12.43,15.29,19.03
1970-01-01,23.51,10.85,10.92,31.25,32.31,22.29,16.24,20.06,20.07,27.15,22.00,22.23,29.89,21.37,15.63,17.89,20.85
1971-01-01,15.45,9.05,9.03,21.36,22.65,16.03,7.70,11.81,11.78,16.46,15.88,12.13,19.46,14.69,9.11,10.85,13.13
1972-01-01,18.78,11.67,11.71,25.21,22.53,20.41,14.26,16.98,16.98,20.85,17.93,16.97,21.38,13.95,14.94,17.02,19.74
1973-01-01,17.64,8.93,8.94,27.71,24.36,15.78,11.39,15.15,15.19,17.98,16.13,20.51,20.47,14.53,7.66,10.92,15.17
1974-01-01,23.67,15.92,15.86,31.61,33.48,24.10,14.26,16.68,16.73,27.88,21.06,19.45,25.13,25.97,12.18,16.25,21.57
1975-01-01,17.50,8.74,8.73,27.02,25.84,17.44,10.23,14.11,14.10,18.36,18.28,12.98,20.62,13.74,8.28,10.81,14.11
1976-01-01,15.11,7.22,7.28,23.12,22.04,12.38,11.44,13.51,13.50,15.14,14.74,12.75,17.96,12.17,6.75,8.85,11.58
1977-01-01,22.56,14.12,14.08,31.79,30.11,22.67,12.55,17.42,17.45,22.52,23.35,20.57,33.24,20.14,17.02,19.80,23.43
1978-01-01,20.75,10.65,10.71,31.69,28.45,18.05,11.46,18.54,18.53,22.57,21.49,19.44,31.49,17.95,10.96,12.99,15.63
1979-01-01,21.42,11.86,11.82,29.15,29.83,22.32,11.05,17.02,17.02,23.67,25.56,20.01,35.14,18.29,11.97,14.29,17.31
1980-01-01,22.87,13.96,13.91,30.29,29.80,21.59,15.81,19.35,19.38,24.05,25.99,27.96,36.66,20.18,12.86,14.84,17.43
1981-01-01,27.33,16.13,16.16,35.69,35.51,29.05,15.55,23.31,23.30,30.69,29.15,24.62,36.51,28.33,16.76,20.31,24.95
1982-01-01,18.71,7.13,7.16,32.46,26.56,19.74,7.84,14.97,14.92,21.90,24.27,17.32,32.56,10.09,6.75,8.89,11.68
1983-01-01,21.14,12.70,12.69,28.93,27.37,20.27,14.69,18.75,18.79,22.71,22.22,21.71,28.31,16.97,14.13,15.46,17.20
1984-01-01,22.90,11.83,11.86,30.35,27.05,26.33,13.36,20.80,20.75,29.72,28.42,23.08,35.97,16.04,13.65,16.80,20.90
1985-01-01,17.75,6.40,6.42,26.80,26.56,17.02,8.78,15.12,15.13,20.85,17.46,20.39,20.74,11.04,7.29,10.14,13.85
1986-01-01,25.17,16.82,16.74,37.09,32.21,23.57,14.90,21.26,21.20,29.27,24.87,22.58,32.45,20.49,16.26,18.75,22.01
1987-01-01,24.40,13.69,13.70,33.84,32.10,25.98,11.61,20.11,20.05,28.97,27.33,21.40,32.59,23.23,13.56,17.56,22.77
1988-01-01,22.45,8.26,8.23,36.12,32.54,20.57,10.59,18.40,18.39,25.57,24.76,24.57,34.22,16.52,8.90,12.39,16.95
1989-01-01,19.00,8.42,8.44,24.74,26.51,21.30,9.44,16.63,16.66,22.27,23.62,16.77,28.67,15.34,9.26,12.04,15.66
1990-01-01,21.25,10.79,10.76,29.62,28.78,20.52,12.93,20.00,20.03,22.13,22.04,30.08,27.38,13.29,10.89,13.06,15.89
1991-01-01,16.46,9.10,9.12,21.18,22.06,14.69,10.04,14.85,14.88,21.51,17.58,20.80,22.84,11.51,8.26,9.21,10.44
1992-01-01,21.91,11.06,11.07,29.44,29.99,23.63,12.60,19.33,19.28,25.86,22.81,18.85,26.46,16.91,13.88,15.64,17.94
1993-01-01,25.41,15.60,15.67,29.44,30.34,22.47,18.97,28.11,28.13,33.22,23.64,24.53,29.51,21.45,15.50,18.13,21.57
1994-01-01,24.57,16.99,16.97,30.98,26.30,24.38,18.40,26.18,26.21,30.47,21.35,29.06,27.63,20.11,18.10,19.52,21.38
1995-01-01,24.80,13.51,13.50,37.48,33.66,24.50,13.61,21.52,21.54,24.44,27.53,19.59,37.23,23.55,12.48,17.00,22.89
1996-01-01,18.26,10.41,10.38,26.85,25.76,18.64,11.54,14.89,14.83,19.65,16.60,14.96,19.41,14.41,10.92,13.35,16.53
1997-01-01,19.63,11.92,11.93,25.37,25.66,16.44,13.01,18.47,18.45,22.40,20.22,21.46,26.93,16.98,11.18,13.47,16.46
1998-01-01,24.95,12.53,12.56,30.56,30.11,25.01,18.20,26.87,26.90,32.35,23.40,29.58,28.24,19.04,12.88,16.24,20.62
1999-01-01,22.13,8.55,8.62,37.00,30.88,20.61,13.09,17.17,17.13,26.20,23.69,20.59,31.93,15.36,9.92,13.83,18.93
2000-01-01,20.45,9.93,9.91,28.72,29.16,20.27,11.23,15.05,15.03,23.46,27.94,13.45,41.27,17.92,10.69,13.24,16.57
2001-01-01,25.11,11.86,11.87,37.11,33.99,22.12,14.17,24.64,24.70,28.19,27.08,22.92,39.84,18.58,13.57,15.66,18.39
2002-01-01,30.73,17.72,17.74,41.16,39.91,30.98,19.74,29.05,29.04,33.73,30.21,30.30,36.58,24.37,19.80,23.07,27.33
