Jahr,Deutschland,Brandenburg/Berlin,Brandenburg,Baden-Wuerttemberg,Bayern,Hessen,Mecklenburg-Vorpommern,Niedersachsen,Niedersachsen/Hamburg/Bremen,Nordrhein-Westfalen,Rheinland-Pfalz,Schleswig-Holstein,Saarland,Sachsen,Sachsen-Anhalt,Thueringen/Sachsen-Anhalt,Thueringen
1991-01-01,32.93,38.54,38.48,43.72,34.68,36.54,20.52,24.98,24.91,28.47,42.39,15.81,47.32,34.84,37.17,34.82,31.76
1992-01-01,44.33,63.71,63.68,44.15,42.99,41.55,36.28,41.26,41.22,41.10,41.62,26.39,41.38,52.88,56.18,49.75,41.35
1993-01-01,28.53,35.81,35.81,34.60,34.39,32.11,15.63,19.48,19.43,23.46,33.50,8.95,35.20,32.90,32.94,30.89,28.21
1994-01-01,41.13,42.60,42.62,47.07,47.83,42.63,31.07,34.22,34.20,38.28,43.76,27.87,46.32,41.74,43.57,41.91,39.75
1995-01-01,43.41,53.62,53.59,39.16,39.22,45.58,33.83,43.62,43.59,47.64,47.00,32.79,49.50,47.29,53.02,48.03,41.51
1996-01-01,24.42,28.02,28.01,26.52,25.89,23.92,20.18,21.27,21.27,21.16,28.71,18.93,33.84,24.47,28.30,25.89,22.74
1997-01-01,39.84,55.31,55.18,40.50,40.02,38.84,33.95,35.34,35.38,33.28,41.03,31.60,44.91,40.09,51.44,44.57,35.60
1998-01-01,27.12,28.82,28.83,35.19,36.16,28.16,13.50,18.33,18.25,22.54,30.15,9.06,30.02,30.16,29.63,28.56,27.17
1999-01-01,39.89,50.84,50.74,38.36,36.88,41.96,34.19,39.94,39.94,42.63,42.60,27.81,43.47,38.22,48.07,42.18,34.49
2000-01-01,32.13,41.07,41.02,41.16,39.72,32.46,19.10,21.16,21.09,25.94,32.15,13.18,32.65,38.66,37.00,34.17,30.47
2001-01-01,34.47,35.76,35.73,41.51,39.41,38.89,23.63,28.04,28.00,35.05,40.29,18.76,39.74,32.47,34.96,33.43,31.44
2002-01-01,35.49,51.27,51.14,36.12,37.86,32.07,34.95,29.58,29.64,26.93,31.45,26.95,32.03,41.61,42.10,38.11,32.91
2003-01-01,62.07,63.32,63.25,79.66,75.87,66.10,41.49,47.95,47.92,53.26,69.55,35.88,77.34,61.46,62.39,60.91,58.97
2004-01-01,31.06,32.50,32.43,39.24,36.01,33.90,18.04,25.70,25.64,29.94,35.69,16.56,37.13,30.33,32.30,30.64,28.48
2005-01-01,39.25,44.76,44.67,43.52,39.99,43.56,29.72,33.17,33.12,39.47,44.89,25.19,49.33,39.43,45.66,42.52,38.43
2006-01-01,50.73,62.02,61.92,51.09,47.49,50.41,44.07,51.21,51.14,52.06,50.40,38.78,52.29,50.38,60.41,55.18,48.35
2007-01-01,33.87,43.21,43.17,40.29,39.10,33.34,23.03,25.94,25.87,27.72,35.39,14.17,34.92,41.43,40.83,36.75,31.43
2008-01-01,34.02,40.73,40.64,38.31,41.45,34.46,23.72,27.66,27.66,27.11,34.30,17.32,32.34,36.82,38.11,36.59,34.60
2009-01-01,36.36,45.65,45.59,40.87,38.20,34.35,31.18,32.65,32.51,34.04,37.23,18.01,37.03,36.46,44.18,39.56,33.53
2010-01-01,35.22,44.02,43.97,37.22,35.78,36.59,30.32,31.32,31.26,34.74,37.77,20.51,39.53,35.68,40.58,37.09,32.54
2011-01-01,38.37,43.49,43.44,48.11,42.96,42.37,23.37,30.49,30.37,34.55,41.64,15.30,39.98,41.93,46.00,43.08,39.28
2012-01-01,36.80,39.65,39.70,45.89,46.36,36.57,22.45,29.31,29.21,31.07,36.98,13.80,37.69,41.44,41.41,38.79,35.36
2013-01-01,37.83,45.77,45.73,43.92,41.47,40.05,26.36,31.16,31.10,35.34,39.53,21.74,42.12,38.73,44.40,40.54,35.50
2014-01-01,34.15,45.52,45.45,34.94,34.22,33.00,30.87,32.73,32.76,29.76,31.31,29.11,34.22,36.78,38.55,34.83,29.97
2015-01-01,43.30,50.23,50.20,52.90,53.80,46.10,29.40,30.80,30.67,35.60,46.60,17.10,52.30,48.10,46.70,45.53,44.00
2016-01-01,45.41,59.07,58.96,50.90,48.83,45.05,35.90,38.52,38.43,38.41,44.03,25.14,46.71,49.48,57.58,51.13,42.71
2017-01-01,39.01,40.15,40.11,54.22,51.63,41.47,19.16,24.60,24.46,34.19,43.77,10.55,47.57,43.65,41.51,40.08,38.22
2018-01-01,74.72,86.06,86.06,79.71,75.36,79.81,58.58,70.34,70.27,75.85,77.46,46.27,83.43,76.53,87.60,80.34,70.86
2019-01-01,52.29,66.31,66.24,55.40,55.45,52.92,41.89,43.51,43.39,48.71,54.01,25.93,58.76,59.52,63.42,58.88,52.95
2020-01-01,45.37,53.04,52.99,55.00,46.21,49.99,33.31,36.30,36.26,41.89,55.44,26.41,62.76,48.87,52.06,47.69,41.99
2021-01-01,43.420718235034315,51.38056653704746,51.34313332323205,49.534919268186925,47.45880034469699,45.16705050048204,32.9171834018465,36.53825221782674,36.47537166286635,40.4494164544843,46.564251055260826,25.3628574678823,50.10172208872331,44.87979486191909,50.28383091290612,46.222550006743795,40.9845190543511
2022-01-01,45.052143404449694,53.14235864195595,53.10488628863376,51.09289171968359,48.98552204830378,46.81733472786364,33.891499323254045,38.081256318007945,38.01074197844795,41.7368292769684,48.01837200462526,25.94155700003155,51.35446211290417,46.836004008929535,52.03152779066005,47.95909710961226,42.60625335316413
2023-01-01,45.39064549318793,53.57175078538811,53.53629805326402,51.508451193679846,49.37636388461628,47.20316410305204,33.88369160758313,38.46321092327354,38.39025866421119,41.80169572884217,48.30901872692773,25.935499186434527,51.462378179015815,47.488833629175794,52.564558416168765,48.48077292437003,43.11325762078296
2024-01-01,44.43605270727081,52.66847501032677,52.63709911633073,50.78135715699868,48.63112950776715,46.32433398807718,32.89401841086752,37.68392055011923,37.61372879722089,40.64419360187039,47.43609692475297,25.344921447901534,50.42564591337221,46.83767605899754,51.88256905977212,47.78720939282526,42.505163138761006
2025-01-01,44.74618791867794,52.78936937456912,52.75294382693673,51.033042365235886,48.9083430487547,46.598632491076586,34.00127006215703,37.7183918345269,37.65258857429889,41.698446139082435,47.99913799272351,26.1970149393887,51.74074870793819,46.06355797959838,51.833008335853904,47.65448572418818,42.25766250221666
