Jahr,Deutschland,Brandenburg/Berlin,Brandenburg,Baden-Wuerttemberg,Bayern,Hessen,Mecklenburg-Vorpommern,Niedersachsen,Niedersachsen/Hamburg/Bremen,Nordrhein-Westfalen,Rheinland-Pfalz,Schleswig-Holstein,Saarland,Sachsen,Sachsen-Anhalt,Thueringen/Sachsen-Anhalt,Thueringen
1991-01-01,4.26,1.30,1.29,6.15,7.28,2.68,1.93,3.67,3.68,5.56,3.46,4.84,4.59,3.30,1.38,1.62,1.94
1992-01-01,5.24,1.59,1.59,9.08,8.04,5.55,1.38,4.16,4.15,6.19,4.54,3.97,5.01,3.67,2.89,3.64,4.62
1993-01-01,6.06,2.95,2.98,7.76,8.28,5.31,3.59,6.00,6.01,8.66,6.11,4.31,8.26,4.08,3.39,3.93,4.64
1994-01-01,6.07,5.10,5.08,8.23,6.71,4.77,3.36,6.39,6.35,7.74,4.17,5.29,5.38,6.42,5.60,5.29,4.88
1995-01-01,5.98,2.72,2.72,10.83,10.26,4.95,2.59,3.46,3.46,4.82,5.71,3.25,9.90,6.65,2.04,3.48,5.35
1996-01-01,4.28,2.25,2.26,6.68,6.91,3.63,2.47,2.81,2.79,5.13,3.60,1.70,5.77,3.84,1.99,2.78,3.80
1997-01-01,4.35,2.91,2.92,6.71,6.49,2.68,2.34,3.40,3.39,4.34,3.88,4.70,6.71,3.49,2.60,2.94,3.39
1998-01-01,5.58,2.10,2.09,7.30,8.53,4.99,3.40,4.59,4.59,7.64,4.57,6.12,7.63,4.36,2.31,3.03,3.97
1999-01-01,4.52,0.95,0.96,9.40,7.30,4.11,2.02,2.20,2.19,4.86,5.21,3.25,8.17,3.30,1.53,2.43,3.60
2000-01-01,4.37,1.48,1.48,7.62,7.33,2.99,2.03,2.78,2.76,4.92,5.88,1.70,7.74,3.97,1.63,2.05,2.60
2001-01-01,4.99,2.22,2.22,8.84,8.09,2.80,2.83,4.38,4.41,4.71,4.36,4.28,6.28,3.27,2.31,2.59,2.95
2002-01-01,8.93,4.64,4.65,12.86,13.16,8.74,4.19,6.91,6.93,10.41,8.28,6.76,11.65,7.25,5.88,6.73,7.85
2003-01-01,3.46,1.05,1.06,4.70,5.15,2.47,1.56,3.34,3.31,5.09,3.83,2.76,5.49,1.75,1.92,2.29,2.77
2004-01-01,4.76,1.69,1.72,7.11,7.05,5.68,1.52,3.40,3.41,6.40,4.62,3.97,6.08,4.15,1.93,3.02,4.44
2005-01-01,4.80,3.36,3.34,6.36,8.07,4.40,2.38,3.18,3.19,5.74,3.28,4.01,3.31,3.94,2.26,2.84,3.59
2006-01-01,4.54,1.00,0.99,9.31,7.78,4.26,2.25,2.52,2.52,3.87,4.80,3.21,6.63,3.05,1.18,2.40,4.00
2007-01-01,7.35,5.34,5.29,8.92,9.43,7.25,5.23,6.24,6.24,9.60,5.08,5.45,8.01,5.51,6.88,7.16,7.52
2008-01-01,4.71,2.46,2.47,6.84,5.79,3.12,2.56,5.82,5.83,5.34,3.93,5.26,6.63,4.59,2.79,2.79,2.79
2009-01-01,4.30,2.34,2.36,6.68,6.75,3.23,1.56,3.08,3.08,4.45,3.97,3.91,5.59,4.06,2.18,3.02,4.11
2010-01-01,5.68,5.25,5.32,7.33,7.34,4.18,4.29,3.88,3.88,5.14,4.10,5.41,5.47,8.70,5.45,5.26,5.01
2011-01-01,5.45,5.46,5.46,6.92,7.83,3.82,5.97,3.91,3.92,3.92,4.06,6.78,5.32,5.18,4.03,3.81,3.53
2012-01-01,4.01,2.23,2.23,7.26,5.90,3.15,1.52,2.47,2.46,4.25,3.31,3.51,5.65,4.27,1.99,2.87,4.02
2013-01-01,6.05,4.26,4.27,10.01,9.31,4.68,3.10,4.07,4.08,3.98,4.90,3.57,7.21,7.89,4.39,5.13,6.10
2014-01-01,5.05,2.57,2.59,7.85,6.93,5.00,3.29,3.26,3.26,5.45,5.02,5.47,5.80,3.99,3.97,4.17,4.42
2015-01-01,4.23,2.18,2.21,6.34,6.06,2.58,1.61,4.05,4.06,5.52,3.36,3.85,3.21,3.49,3.26,3.02,2.71
2016-01-01,4.44,2.19,2.22,7.55,7.61,3.47,1.41,2.96,2.96,3.73,4.36,2.96,6.24,4.33,2.46,2.85,3.37
2017-01-01,5.68,4.11,4.10,7.90,7.57,6.00,5.10,4.71,4.72,4.78,4.38,6.86,7.40,3.61,3.95,4.52,5.26
2018-01-01,4.07,1.84,1.83,7.50,7.56,3.74,1.97,1.73,1.74,3.18,5.07,1.61,8.82,2.59,1.39,2.11,3.04
2019-01-01,4.27,2.29,2.28,7.90,6.30,3.12,2.52,3.31,3.30,4.09,3.22,3.88,5.06,3.06,2.54,2.94,3.46
2020-01-01,4.48,2.58,2.61,6.43,7.05,3.14,2.32,3.17,3.16,3.53,3.78,3.50,6.53,5.61,3.05,4.03,5.32
2021-01-01,5.279722519067819,2.9567077491778537,2.965271631002779,8.124987176667908,8.013882050230901,4.541013555993613,2.8036641720284368,3.912982912469799,3.9202973507358703,5.357706185459805,4.68218619132371,4.778473846717595,6.942604877452668,4.648276273994135,3.0079402644139512,3.647675183331616,4.500824362603195
2022-01-01,5.212171991854285,2.8190090539286023,2.8275833038132987,8.103344728302504,7.942320894223163,4.397154168765403,2.8018132143120966,3.764629612570778,3.7699591695648955,5.340630966500829,4.718896487633949,4.522013037935562,6.973170893105291,4.543734265793095,2.9305943439924493,3.5604619862269122,4.39218678077675
2023-01-01,5.06012367004916,2.6390203995759034,2.6488811736672804,7.936986340970912,7.695501693156106,4.25392826584256,2.746718563641689,3.6173425115841145,3.6198511138161624,5.294354598310549,4.710920181647,4.242979165899861,6.872238041145326,4.37840984027851,2.804655715954622,3.4429279228516974,4.287484602413998
2024-01-01,4.823791544604797,2.4169642595901957,2.429386423828664,7.626163245720048,7.273764033714021,4.111524733100267,2.638449369901344,3.471309400275815,3.4701646134474666,5.218961918664184,4.658290609717019,3.9417328802370744,6.639959592556265,4.152521574789114,2.630280222871826,3.2952249939262015,4.186862880831059
2025-01-01,5.293928358770321,2.9688717711269947,2.9784890914951525,8.127442541914364,8.032417711052727,4.540194972913697,2.8256992569422907,3.9201854076741305,3.928336626261887,5.362436743261252,4.700052428506243,4.829768515453427,6.976592531015122,4.665338383410644,3.0093452769650333,3.666301880929071,4.544163709919504
